state,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Goa,Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra,Vaibhav Travels,A/C Sleeper (2+1),10:20,08h 30m,18:50,4.3,300,4
Goa,Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,10h 15m,06:00,2.2,1329,24
Goa,Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa,Khurana Travel Services,A/C Sleeper (2+1),22:15,09h 15m,07:30,4.6,905,19
Goa,Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur,New Shivbaba Tours And Travels,AC Sleeper (2+1),19:45,08h 45m,04:30,3.2,1139,14
Goa,Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,IntrCity SmartBus,AC Sleeper (2+1),17:40,10h 15m,03:55,3.9,1904,15
Goa,Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur,IntrCity SmartBus,,16:10,10h 50m,03:00,4.8,1851,N/A
Goa,Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 99716,AC Seater (2+2),10:00,01h 45m,11:45,4.5,200,38
Goa,Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 78627,Volvo AC Seater 2+2,13:30,01h 45m,15:15,3.6,200,36
Goa,Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 99718,,15:30,01h 45m,17:15,3.6,200,36
Goa,Goa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 99707,AC Seater (2+2),13:45,01h 45m,15:30,4.2,200,41
Goa,Goa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa,Kadamba Transport Corporation Limited (KTCL) - 99710,AC Seater (2+2),16:00,01h 30m,17:30,3.5,200,39
Goa,Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola,Atmaram Gobus,Bharat Benz A/C Sleeper (2+1),18:00,08h 30m,02:30,4.0,1499,16
Goa,Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa,Kadamba Transport Corporation Limited (KTCL) - 132897,Non AC Seater (2+2),23:00,09h 00m,08:00,2.3,450,18
Goa,Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa,Sea Bird Tourist,NON A/C Sleeper (2+1),23:45,08h 15m,08:00,3.1,1700,29
Goa,Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli,Vaibhav Travels,A/C Sleeper (2+1),10:20,08h 25m,18:45,4.3,300,4
Goa,Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli,Khurana Travel Services,A/C Sleeper (2+1),15:00,08h 15m,23:15,3.8,1000,25
Goa,Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa,Sharma Travels,AC Sleeper (2+1),23:59,08h 31m,08:30,3.9,905,6
Goa,Calangute (goa) to Mopa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 159019,A/C Seater (2+3),10:00,01h 15m,11:15,3.4,200,46
Goa,Calangute (goa) to Mopa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 159065,A/C Seater (2+3),11:45,01h 15m,13:00,3.3,200,47
Goa,Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj,Vaibhav Travels,A/C Sleeper (2+1),20:00,09h 42m,05:42,3.6,800,1
Goa,Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj,Atmaram Gobus,,18:00,05h 40m,23:40,4.0,1499,16
Goa,Panaji to Goa Airport,https://www.redbus.in/bus-tickets/panaji-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 99716,AC Seater (2+2),10:31,01h 14m,11:45,3.7,150,41
Goa,Panaji to Goa Airport,https://www.redbus.in/bus-tickets/panaji-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 78627,Volvo AC Seater 2+2,14:01,01h 14m,15:15,3.7,150,36
Goa,Panaji to Goa Airport,https://www.redbus.in/bus-tickets/panaji-to-goa-airport,Kadamba Transport Corporation Limited (KTCL) - 99718,,16:01,01h 14m,17:15,4.3,150,35
Goa,Goa to Mopa Airport,https://www.redbus.in/bus-tickets/goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 178654,AC Seater (2+2),07:45,00h 30m,08:15,3.7,150,35
Goa,Goa to Mopa Airport,https://www.redbus.in/bus-tickets/goa-to-mopa-airport,Kadamba Transport Corporation Limited (KTCL) - 178776,AC Seater (2+2),08:45,00h 30m,09:15,3.7,150,35
